path,side,rationale,open_question
apps/backtester/,algo,"TypeScript backtester core (forward-return-labels CLI, etc.); explicitly named as algo-side per plan",
apps/dashboard_shell/,dashboard,"Tauri desktop wrapper around dashboard_ui (RA-101). README confirms it's the desktop shell over the Vite UI",
apps/dashboard_ui/,dashboard,"RA-061 Vite/React 18 UI; imports contracts/realtime/events.ts; rendered by dashboard_shell. Same product as dashboard_shell (UI + native shell pair)",
apps/operator_console/,dispose,"60 deletions currently staged for removal in git status; node workspaces still in root package.json. Read-only live-sim journal viewer that imports strategy_runtime. Recent commits (846c57c..9273fa8) show extensive dev then operator initiated deletion","Confirm: drop entirely, OR move surviving server+contracts+web to algo repo? If kept, side=algo (imports strategy_runtime)"
apps/strategy_runtime/,algo,"Strategy runtime TS; journal envelope source; consumed by backtester and operator_console scripts",
apps/strategy_runtime.zip,dispose,"Stale build zip from 2025-05-18; not referenced by any active script",
services/broker_session_sidecar/,algo,"Broker session sidecar (auth+heartbeat+IPC redactor) - broker adapter territory per repo-split plan",
services/market_data_sidecar/,dashboard,"OBS-01 producer from Rithmic probe JSONL; dashboard owns capture+obs01 producer per plan",
services/market_data_sidecar.zip,dispose,"Stale build zip from 2025-05-18",
services/notification_daemon/,dashboard,"RA-062 Windows toast daemon for dashboard CRITICAL alerts; binds to contracts.realtime WS stream from realtime_backend. NOT algo trade alerts",
services/realtime_backend/,dashboard,"RA-060 FastAPI WS backend serving dashboard; explicitly named as dashboard-side per plan",
services/replay/,algo,"Replay engine; explicitly named as algo-side per plan. Imports contracts.realtime.events.SignalPayload","Algo replay imports contracts.realtime.events. Vendor contracts/realtime into both repos, OR strip realtime contract usage from replay?"
services/scalp_models/,algo,"Scalp ML models; explicitly named as algo-side per plan. Driven by end_of_session_pipeline.ps1 and score_and_evaluate.ps1",
services/realtime_backend_*.log*,dispose,"Stray runtime logs in services/ root (capstate/depth/hard/health/volg .log + .log.err). Move to logs/ or gitignore",
tools/rithmic_analytics/,dashboard,"σ-zones / VPOC / VWAP / envelope analytics; explicitly named as dashboard-side per plan",
tools/rithmic_dashboard/,dashboard,"Detectors library imported by realtime_backend as a library (RA-046..RA-059)",
scripts/backtester/,algo,"check-determinism + QFA-401/402 archive smoke scripts; backtester tooling",
scripts/console/,dispose,"run-operator-console.ts; imports strategy_runtime operator console module. Tied to operator_console fate","Drop with operator_console, or keep as algo-side runner?"
scripts/data/,algo,"databento-smoke.ts; data corpus tooling for backtester",
scripts/infra/,algo,"Limit-queue-front calibration + databento fetch/verify scripts; sim03 corpus tooling for backtester",
scripts/journal/,algo,"journal-query.ts; reads strategy_runtime journal events",
scripts/maintenance/,dashboard,"VIX series fetch for live-sim feature mask",
scripts/ml/,algo,"QFA-212 label generator + QFA-420 cross-regime fidelity; scalp_models adjacent",
scripts/orch/,algo,"orch-mbo-01-shadow-producer; MBO shadow lineage for strategy validation",
